title,description,content,category,tags,status,views
How to Reset Your Active Directory Password,Step-by-step guide for resetting your AD password without IT assistance.,To reset your Active Directory password: 1) Press Ctrl+Alt+Delete and select Change a Password. 2) Enter your current password. 3) Enter your new password twice. Passwords must be at least 12 characters and include uppercase letters numbers and symbols. If you are locked out contact the IT helpdesk at ext 4357.,IT Infrastructure,"password,active-directory,security",published,542
VPN Setup Guide for Remote Workers,Complete instructions for configuring the corporate VPN on Windows and macOS.,Install the GlobalProtect VPN client from the IT portal. On Windows run the installer and follow the prompts. On macOS drag the app to Applications. Launch GlobalProtect and enter portal address vpn.company.com. Use your corporate email and password. For MFA approve the push notification on your mobile device. Contact IT if you experience connection timeouts.,IT Infrastructure,"vpn,remote-work,network",published,1204
Company Expense Reimbursement Policy,Official policy for submitting and approving business expense claims.,All business expenses must be submitted within 30 days of incurrence via the Concur expense system. Receipts are required for amounts over $25. Meal expenses are capped at $75 per person per day. Travel requires pre-approval for trips over $500. Submit your report to your direct manager for approval. Finance processes reimbursements within 10 business days of approval.,Finance,"expenses,reimbursement,policy",published,876
Annual Performance Review Process,Guide to preparing for and completing the annual performance review cycle.,Performance reviews occur in Q4 each year. Employees complete a self-assessment in Workday by November 1st. Managers conduct 1:1 meetings to discuss goals and achievements. Ratings range from 1-5 where 3 is meets expectations. Reviews are finalized by December 15th. Compensation adjustments take effect January 1st. HR provides training workshops each October to support the process.,HR Policies,"performance,review,hr",published,1532
Onboarding Checklist for New Hires,Everything a new employee needs to complete in their first 30 days.,Week 1: Complete I-9 and tax forms in Workday. Attend new hire orientation on Day 1. Set up your laptop using the IT setup guide. Get your access badge from reception. Week 2: Complete mandatory compliance training in LMS. Meet with your manager to align on 30-60-90 day goals. Week 3-4: Shadow team members. Complete role-specific training modules. Schedule intro meetings with key stakeholders.,Onboarding,"new-hire,checklist,orientation",published,2341
Information Security Awareness Training,Required annual training covering phishing social engineering and data protection.,This training must be completed annually by all employees. Topics covered include phishing email identification social engineering tactics password hygiene data classification and incident reporting. Training takes approximately 2 hours and is available in the LMS. Employees who do not complete training by the deadline will have system access suspended. Contact security@company.com for questions.,Security,"security,training,compliance",published,987
How to Submit a Helpdesk Ticket,Instructions for logging IT support requests through the ServiceNow portal.,Navigate to helpdesk.company.com and click New Ticket. Select the appropriate category such as Hardware Software or Access. Provide a clear description of your issue including error messages and steps to reproduce. Set priority to Critical only for production outages. You will receive an email confirmation with a ticket number. Average response time is 4 hours for standard requests and 30 minutes for critical issues.,IT Infrastructure,"helpdesk,support,servicenow",published,3102
Remote Work Policy and Best Practices,Company guidelines for employees working from home or remote locations.,Employees may work remotely up to 3 days per week with manager approval. Remote workers must maintain core hours of 10am-3pm in their local timezone. Use the corporate VPN when accessing company resources. Ensure your home workspace meets ergonomic standards. Attend all video calls with camera on. Notify your manager of any schedule changes. Fully remote roles require VP approval and HR documentation.,HR Policies,"remote-work,policy,wfh",published,2187
Product Roadmap Q1 2025,Overview of planned product features and releases for Q1 2025.,Q1 2025 roadmap includes three major initiatives. Feature 1: Advanced search with AI-powered recommendations targeting February release. Feature 2: Mobile app redesign for iOS and Android targeting March release. Feature 3: API rate limiting enhancements for enterprise customers targeting January release. All features are subject to change. Product reviews occur bi-weekly on Tuesdays. Reach out to product@company.com for input.,Product,"roadmap,product,q1-2025",published,654
Git Branching Strategy and Workflow,Engineering team guidelines for managing code branches and pull requests.,We use trunk-based development with short-lived feature branches. Branch names follow the pattern feature/TICKET-description or bugfix/TICKET-description. All changes require a pull request with at least one reviewer approval. PRs must pass CI checks before merging. Main branch is always deployable. Releases are tagged with semantic versioning. Hotfixes branch from main and are merged back to both main and the current release branch.,Engineering,"git,branching,workflow",published,1876
Leave and Absence Policy,Comprehensive guide to vacation sick leave and other time-off policies.,Employees accrue 1.25 vacation days per month up to a maximum of 20 days. Sick leave is granted at 10 days per year and does not carry over. Parental leave provides 12 weeks fully paid for primary caregivers and 4 weeks for secondary caregivers. Personal days: 3 per year non-accruing. Submit leave requests in Workday at least 2 weeks in advance for vacation. Sick leave can be reported same-day by notifying your manager.,HR Policies,"leave,vacation,pto",published,1654
Data Classification and Handling Policy,How to classify and protect company and customer data assets.,Data is classified into four levels. Public: no restrictions. Internal: for employees only. Confidential: business sensitive data requiring encryption. Restricted: PII and financial data requiring strict access controls. All employee laptops must use full-disk encryption. Customer data must never be stored on personal devices. Sharing confidential data externally requires DLP approval. Violations must be reported to the security team immediately.,Security,"data,classification,privacy",published,1122
